kabupaten,komoditas,tahun,produksi_ton,luas_panen_ha,produktivitas_ton_per_ha
Kota Sukabumi,Bawang Merah,2020,10.0,1.0,10.0
Kota Sukabumi,Bawang Merah,2021,0.0,,
Kota Sukabumi,Bawang Merah,2022,0.0,,
Kota Sukabumi,Bawang Merah,2023,4.0600000000000005,0.7,5.800000000000001
Kota Sukabumi,Bawang Merah,2024,0.9099999999999999,4.35,0.20919540229885059
Kota Tasikmalaya,Bawang Merah,2015,0.0,,
Kota Tasikmalaya,Bawang Merah,2016,0.0,,
Kota Tasikmalaya,Bawang Merah,2017,0.0,63.0,0.0
Kota Tasikmalaya,Bawang Merah,2018,0.0,,
Kota Tasikmalaya,Bawang Merah,2019,0.0,,
Kota Tasikmalaya,Bawang Merah,2020,0.5,1.0,0.5
Kota Tasikmalaya,Bawang Merah,2021,39.6,3.5,11.314285714285715
Kota Tasikmalaya,Bawang Merah,2022,1.8510000000000002,0.79,2.3430379746835444
Kota Tasikmalaya,Bawang Merah,2023,10.372,1.63,6.36319018404908
Kota Tasikmalaya,Bawang Merah,2024,16.578,1.34,12.371641791044775
Provinsi Jawa Barat,Bawang Merah,2015,129147.7,12333.0,10.471718154544718
Provinsi Jawa Barat,Bawang Merah,2016,141504.3,14060.0,10.06431721194879
Provinsi Jawa Barat,Bawang Merah,2017,166865.2,21598.0,7.725956107046949
Provinsi Jawa Barat,Bawang Merah,2018,167770.0,15404.0,10.891326928070631
Provinsi Jawa Barat,Bawang Merah,2019,173463.2,15708.0,11.042984466513879
Provinsi Jawa Barat,Bawang Merah,2020,164826.53,15042.1,10.957680775955485
Provinsi Jawa Barat,Bawang Merah,2021,170650.327,15876.7,10.748475879748309
Provinsi Jawa Barat,Bawang Merah,2022,193318.326,17389.74,11.116803701492948
Provinsi Jawa Barat,Bawang Merah,2023,179355.382,16010.28,11.202513759909259
Provinsi Jawa Barat,Bawang Merah,2024,199891.68600000002,17917.88,11.155989771111315
Kab. Bandung,Cabai (Gabungan Rawit+Besar),2015,,849.0,
Kab. Bandung,Cabai (Gabungan Rawit+Besar),2016,,822.0,
Kab. Bandung,Cabai (Gabungan Rawit+Besar),2017,,,
Kab. Bandung,Cabai (Gabungan Rawit+Besar),2018,,2157.0,
Kab. Bandung,Cabai (Gabungan Rawit+Besar),2019,,2168.0,
Kab. Bandung,Cabai (Gabungan Rawit+Besar),2020,,2566.0,
Kab. Bandung,Cabai (Gabungan Rawit+Besar),2021,,5759.0,
Kab. Bandung,Cabai (Gabungan Rawit+Besar),2022,,5041.0,
Kab. Bandung,Cabai (Gabungan Rawit+Besar),2023,,4546.0,
Kab. Bandung,Cabai (Gabungan Rawit+Besar),2024,,4884.0,
Kab. Bandung Barat,Cabai (Gabungan Rawit+Besar),2015,,272.0,
Kab. Bandung Barat,Cabai (Gabungan Rawit+Besar),2016,,336.0,
Kab. Bandung Barat,Cabai (Gabungan Rawit+Besar),2017,,,
Kab. Bandung Barat,Cabai (Gabungan Rawit+Besar),2018,,836.0,
Kab. Bandung Barat,Cabai (Gabungan Rawit+Besar),2019,,797.0,
Kab. Bandung Barat,Cabai (Gabungan Rawit+Besar),2020,,724.0,
Kab. Bandung Barat,Cabai (Gabungan Rawit+Besar),2021,,626.0,
