kabupaten,komoditas,tahun,produksi_ton,luas_panen_ha,produktivitas_ton_per_ha
Kab. Tasikmalaya,Cabai (Gabungan Rawit+Besar),2018,,1428.0,
Kab. Tasikmalaya,Cabai (Gabungan Rawit+Besar),2019,,1118.0,
Kab. Tasikmalaya,Cabai (Gabungan Rawit+Besar),2020,,1071.0,
Kab. Tasikmalaya,Cabai (Gabungan Rawit+Besar),2021,,1055.74,
Kab. Tasikmalaya,Cabai (Gabungan Rawit+Besar),2022,,876.8,
Kab. Tasikmalaya,Cabai (Gabungan Rawit+Besar),2023,,887.61,
Kab. Tasikmalaya,Cabai (Gabungan Rawit+Besar),2024,,878.3,
Kota Sukabumi,Cabai (Gabungan Rawit+Besar),2015,,12.0,
Kota Sukabumi,Cabai (Gabungan Rawit+Besar),2016,,7.0,
Kota Sukabumi,Cabai (Gabungan Rawit+Besar),2017,,,
Kota Sukabumi,Cabai (Gabungan Rawit+Besar),2018,,8.0,
Kota Sukabumi,Cabai (Gabungan Rawit+Besar),2019,,4.0,
Kota Sukabumi,Cabai (Gabungan Rawit+Besar),2020,,7.0,
Kota Sukabumi,Cabai (Gabungan Rawit+Besar),2021,,3.0,
Kota Sukabumi,Cabai (Gabungan Rawit+Besar),2022,,,
Kota Sukabumi,Cabai (Gabungan Rawit+Besar),2023,,8.39,
Kota Sukabumi,Cabai (Gabungan Rawit+Besar),2024,,7.28,
Kab. Bandung,Cabai Besar/Keriting,2015,24970.6,,
Kab. Bandung,Cabai Besar/Keriting,2016,17224.3,,
Kab. Bandung,Cabai Besar/Keriting,2017,40532.8,,
Kab. Bandung,Cabai Besar/Keriting,2018,49654.6,,
Kab. Bandung,Cabai Besar/Keriting,2019,43426.1,,
Kab. Bandung,Cabai Besar/Keriting,2020,58665.6,,
Kab. Bandung,Cabai Besar/Keriting,2021,120629.2,,
Kab. Bandung,Cabai Besar/Keriting,2022,100094.9,,
Kab. Bandung,Cabai Besar/Keriting,2023,90052.4,,
Kab. Bandung,Cabai Besar/Keriting,2024,89328.1,,
Kab. Cianjur,Cabai Besar/Keriting,2015,59019.9,,
Kab. Cianjur,Cabai Besar/Keriting,2016,61703.7,,
Kab. Cianjur,Cabai Besar/Keriting,2017,44394.3,,
Kab. Cianjur,Cabai Besar/Keriting,2018,36550.1,,
Kab. Cianjur,Cabai Besar/Keriting,2019,29914.2,,
Kab. Cianjur,Cabai Besar/Keriting,2020,28194.8,,
