date,province,regency,commodity,price_type_id,price_type,nominal_price,source_level,responder_name
2019-01-15,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,14350.0,kabupaten,
2019-01-16,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,14350.0,kabupaten,
2019-01-17,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,14350.0,kabupaten,
2019-01-18,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,14350.0,kabupaten,
2019-01-21,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,14350.0,kabupaten,
2019-01-22,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,14350.0,kabupaten,
2019-01-23,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,14350.0,kabupaten,
2019-01-24,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,14350.0,kabupaten,
2019-01-25,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,11350.0,kabupaten,
2019-01-28,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,11350.0,kabupaten,
2019-01-29,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,11350.0,kabupaten,
2019-01-30,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,11350.0,kabupaten,
2019-01-31,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,11350.0,kabupaten,
2019-02-01,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,11350.0,kabupaten,
2019-02-04,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,11350.0,kabupaten,
2019-02-05,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,11350.0,kabupaten,
2019-02-06,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,11350.0,kabupaten,
2019-02-07,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,11350.0,kabupaten,
2019-02-08,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,11350.0,kabupaten,
2019-02-11,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,11350.0,kabupaten,
2019-02-12,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,11350.0,kabupaten,
2019-02-13,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,11350.0,kabupaten,
2019-02-14,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,11350.0,kabupaten,
2019-02-15,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,11350.0,kabupaten,
2019-02-18,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,11350.0,kabupaten,
2019-02-19,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,11350.0,kabupaten,
2019-02-20,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,11350.0,kabupaten,
2019-02-21,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,11350.0,kabupaten,
2019-02-22,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,11350.0,kabupaten,
2019-02-25,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,8650.0,kabupaten,
2019-02-26,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,8650.0,kabupaten,
2019-02-27,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,8650.0,kabupaten,
2019-02-28,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,8650.0,kabupaten,
2019-03-01,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,8650.0,kabupaten,
2019-03-04,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,8650.0,kabupaten,
2019-03-05,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,8650.0,kabupaten,
2019-03-06,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,8650.0,kabupaten,
2019-03-07,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,8650.0,kabupaten,
2019-03-08,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,8650.0,kabupaten,
2019-03-11,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,8650.0,kabupaten,
2019-03-12,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,8650.0,kabupaten,
2019-03-13,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,8650.0,kabupaten,
2019-03-14,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,8650.0,kabupaten,
2019-03-15,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,8650.0,kabupaten,
2019-03-18,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,8650.0,kabupaten,
2019-03-19,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,8650.0,kabupaten,
2019-03-20,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,8650.0,kabupaten,
