date,province,regency,market,commodity,price_type_id,price_type,nominal_price
2024-05-28,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,
2024-05-29,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,
2024-05-30,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,
2024-05-31,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,
2024-06-03,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,
2024-06-04,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,
2024-06-05,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,
2024-06-06,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,
2024-06-07,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,
2024-06-10,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,
2024-06-11,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,
2024-06-12,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,
2024-06-13,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,
2024-06-14,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,
2024-06-17,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,
2024-06-18,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,
2024-06-19,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,
2024-06-20,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,
2024-06-21,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,
2024-06-24,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,
2024-06-25,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,56250.0
2024-06-26,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,56250.0
2024-06-27,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,56250.0
2024-06-28,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,56250.0
2024-07-01,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,56250.0
2024-07-02,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,56250.0
2024-07-03,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,56250.0
2024-07-04,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,56250.0
2024-07-05,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,56250.0
2024-07-08,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,56250.0
2024-07-09,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,56250.0
2024-07-10,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,56250.0
2024-07-11,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,56250.0
2024-07-12,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,56250.0
2024-07-15,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,56250.0
2024-07-16,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,56250.0
